period,LSOA,SHEF_C,report_count,user_count,average
2013-9,E01001570,Road Safety & Defects,1,1,1.0
2013-9,E01001574,Road Safety & Defects,1,1,1.0
2013-9,E01001579,Environmental Health,1,1,1.0
2013-9,E01001593,Environmental Health,1,1,1.0
2013-9,E01001602,Road Safety & Defects,1,1,1.0
2013-9,E01001635,Incivilities,1,1,1.0
2013-9,E01001637,Environmental Health,1,1,1.0
2013-9,E01001638,Environmental Health,1,1,1.0
2013-9,E01001640,Road Safety & Defects,1,1,1.0
2013-9,E01001641,Road Safety & Defects,1,1,1.0
2013-9,E01001650,Road Safety & Defects,1,1,1.0
2013-9,E01001666,Road Safety & Defects,1,1,1.0
2013-9,E01001675,Road Safety & Defects,3,1,3.0
2013-9,E01001680,Road Safety & Defects,1,1,1.0
2013-9,E01001680,Vehicles,1,1,1.0
2013-9,E01001701,Environmental Health,1,1,1.0
2013-9,E01001705,Road Safety & Defects,1,1,1.0
2013-9,E01001716,Environmental Disruptions,1,1,1.0
2013-9,E01001716,Road Safety & Defects,1,1,1.0
2013-9,E01001718,Environmental Health,1,1,1.0
2013-9,E01001736,Environmental Health,1,1,1.0
2013-9,E01001752,Road Safety & Defects,1,1,1.0
2013-9,E01001756,Road Safety & Defects,1,1,1.0
2013-9,E01001775,Environmental Disruptions,1,1,1.0
2013-9,E01001789,Road Safety & Defects,1,1,1.0
2013-9,E01001832,Road Safety & Defects,1,1,1.0
2013-9,E01001837,Road Safety & Defects,1,1,1.0
2013-9,E01001840,Environmental Disruptions,1,1,1.0
2013-9,E01001849,Road Safety & Defects,1,1,1.0
2013-9,E01001874,Road Safety & Defects,1,1,1.0
2013-9,E01001875,Road Safety & Defects,1,1,1.0
2013-9,E01001904,Road Safety & Defects,1,1,1.0
2013-9,E01001914,Road Safety & Defects,1,1,1.0
2013-9,E01001917,Road Safety & Defects,1,1,1.0
2013-9,E01001954,Road Safety & Defects,1,1,1.0
2013-9,E01001956,Environmental Health,1,1,1.0
2013-9,E01001959,Environmental Health,1,1,1.0
2013-9,E01001972,Road Safety & Defects,1,1,1.0
2013-9,E01001977,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01002002,Environmental Health,1,1,1.0
2013-9,E01002002,Road Safety & Defects,1,1,1.0
2013-9,E01002009,Road Safety & Defects,1,1,1.0
2013-9,E01002013,Road Safety & Defects,1,1,1.0
2013-9,E01002014,Environmental Health,1,1,1.0
2013-9,E01002063,Environmental Disruptions,1,1,1.0
2013-9,E01002064,Road Safety & Defects,1,1,1.0
2013-9,E01002078,Environmental Health,1,1,1.0
2013-9,E01002078,Road Safety & Defects,2,2,1.0
2013-9,E01002080,Abandoned Vehicles & Parking,1,1,1.0
2013-9,E01002085,Environmental Health,3,2,1.5
2013-9,E01002085,Road Safety & Defects,1,1,1.0
2013-9,E01002086,Environmental Health,1,1,1.0
2013-9,E01002091,Environmental Health,1,1,1.0
2013-9,E01002114,Environmental Disruptions,1,1,1.0
2013-9,E01002117,Road Safety & Defects,1,1,1.0
2013-9,E01002119,Environmental Health,1,1,1.0
2013-9,E01002141,Road Safety & Defects,1,1,1.0
