period,LSOA,SHEF_C,report_count,user_count,average
2015,E01000183,Environmental Health,4,3,1.3333333333333333
2015,E01000183,Incivilities,2,2,1.0
2015,E01000183,Road Safety & Defects,5,4,1.25
2015,E01000183,Vehicles,1,1,1.0
2015,E01000184,Environmental Health,3,3,1.0
2015,E01000184,Road Safety & Defects,2,2,1.0
2015,E01000185,Road Safety & Defects,4,4,1.0
2015,E01000186,Environmental Disruptions,1,1,1.0
2015,E01000186,Environmental Health,1,1,1.0
2015,E01000186,Road Safety & Defects,6,6,1.0
2015,E01000187,Environmental Health,3,3,1.0
2015,E01000187,Road Safety & Defects,5,5,1.0
2015,E01000188,Environmental Disruptions,2,1,2.0
2015,E01000188,Environmental Health,6,5,1.2
2015,E01000188,Road Safety & Defects,4,3,1.3333333333333333
2015,E01000188,Vehicles,2,2,1.0
2015,E01000189,Environmental Health,1,1,1.0
2015,E01000189,Road Safety & Defects,6,5,1.2
2015,E01000189,Vehicles,2,2,1.0
2015,E01000190,Road Safety & Defects,3,3,1.0
2015,E01000190,Vehicles,1,1,1.0
2015,E01000191,Environmental Health,3,3,1.0
2015,E01000191,Road Safety & Defects,9,9,1.0
2015,E01000192,Environmental Health,4,4,1.0
2015,E01000192,Road Safety & Defects,8,7,1.1428571428571428
2015,E01000192,Vehicles,1,1,1.0
2015,E01000193,Environmental Health,5,5,1.0
2015,E01000193,Road Safety & Defects,10,10,1.0
2015,E01000194,Environmental Health,6,2,3.0
2015,E01000194,Incivilities,8,1,8.0
2015,E01000194,Road Safety & Defects,3,3,1.0
2015,E01000194,Vehicles,1,1,1.0
