lsoa,SHEF_B_CODE,reports,unique_users,average_per_user
E01001601,B1,21,18,1.1666666666666667
E01001602,B1,29,19,1.5263157894736843
E01001603,B1,20,18,1.1111111111111112
E01001604,B1,11,11,1.0
E01001605,B1,48,31,1.5483870967741935
E01001606,B1,23,13,1.7692307692307692
E01001607,B1,18,16,1.125
E01001608,B1,20,16,1.25
E01001609,B1,10,10,1.0
E01001610,B1,33,29,1.1379310344827587
E01001611,B1,17,16,1.0625
E01001613,B1,18,18,1.0
E01001614,B1,29,22,1.3181818181818181
E01001615,B1,27,21,1.2857142857142858
E01001617,B1,37,30,1.2333333333333334
E01001618,B1,18,16,1.125
E01001619,B1,25,15,1.6666666666666667
E01001620,B1,21,19,1.105263157894737
E01001621,B1,24,18,1.3333333333333333
E01001623,B1,41,28,1.4642857142857142
E01001624,B1,18,15,1.2
E01001625,B1,43,32,1.34375
E01001629,B1,18,17,1.0588235294117647
E01001631,B1,10,9,1.1111111111111112
E01001632,B1,54,33,1.6363636363636365
E01001633,B1,37,25,1.48
E01001634,B1,19,14,1.3571428571428572
E01001635,B1,97,48,2.0208333333333335
E01001636,B1,46,33,1.393939393939394
E01001637,B1,90,28,3.2142857142857144
E01001638,B1,15,14,1.0714285714285714
E01001640,B1,18,17,1.0588235294117647
E01001641,B1,9,8,1.125
E01001642,B1,16,16,1.0
E01001644,B1,24,18,1.3333333333333333
E01001645,B1,21,17,1.2352941176470589
E01001646,B1,44,36,1.2222222222222223
E01001647,B1,38,32,1.1875
E01001648,B1,20,20,1.0
E01001649,B1,17,16,1.0625
E01001650,B1,14,11,1.2727272727272727
E01001651,B1,35,27,1.2962962962962963
E01001652,B1,54,35,1.542857142857143
E01001653,B1,23,15,1.5333333333333334
E01001654,B1,31,26,1.1923076923076923
E01001655,B1,27,17,1.588235294117647
E01001656,B1,30,20,1.5
E01001657,B1,21,19,1.105263157894737
E01001658,B1,43,29,1.4827586206896552
E01001659,B1,31,20,1.55
E01001660,B1,35,27,1.2962962962962963
E01001661,B1,35,21,1.6666666666666667
E01001662,B1,28,23,1.2173913043478262
E01001664,B1,20,16,1.25
E01001665,B1,17,15,1.1333333333333333
E01001666,B1,36,32,1.125
E01001667,B1,52,45,1.1555555555555554
E01001668,B1,20,18,1.1111111111111112
E01001669,B1,34,27,1.2592592592592593
E01001671,B1,32,21,1.5238095238095237
E01001672,B1,25,16,1.5625
E01001673,B1,23,15,1.5333333333333334
E01001674,B1,28,21,1.3333333333333333
E01001675,B1,53,33,1.606060606060606
E01001676,B1,38,24,1.5833333333333333
E01001677,B1,62,33,1.878787878787879
E01001678,B1,21,21,1.0
E01001679,B1,21,18,1.1666666666666667
E01001680,B1,27,27,1.0
E01001681,B1,18,16,1.125
E01001682,B1,55,33,1.6666666666666667
E01001683,B1,28,25,1.12
E01001684,B1,20,19,1.0526315789473684
E01001685,B1,23,21,1.0952380952380953
E01001686,B1,30,25,1.2
E01001687,B1,14,13,1.0769230769230769
E01001688,B1,38,31,1.2258064516129032
E01001690,B1,7,7,1.0
E01001692,B1,8,4,2.0
E01001693,B1,7,7,1.0
E01001694,B1,28,19,1.4736842105263157
E01001695,B1,22,17,1.2941176470588236
E01001696,B1,17,13,1.3076923076923077
E01001697,B1,27,17,1.588235294117647
E01001698,B1,26,20,1.3
E01001699,B1,12,11,1.0909090909090908
E01001700,B1,39,25,1.56
E01001701,B1,20,19,1.0526315789473684
E01001702,B1,4,4,1.0
E01001703,B1,11,9,1.2222222222222223
E01001704,B1,42,30,1.4
E01001705,B1,27,17,1.588235294117647
E01001706,B1,14,12,1.1666666666666667
E01001708,B1,53,39,1.358974358974359
E01001709,B1,61,43,1.4186046511627908
E01001710,B1,9,7,1.2857142857142858
E01001711,B1,29,22,1.3181818181818181
E01001712,B1,15,12,1.25
E01001713,B1,11,8,1.375
E01001715,B1,2,2,1.0
E01001717,B1,1,1,1.0
E01001722,B1,1,1,1.0
E01001723,B1,1,1,1.0
E01001724,B1,1,1,1.0
E01001730,B1,1,1,1.0
E01001733,B1,2,2,1.0
E01001737,B1,1,1,1.0
E01001738,B1,1,1,1.0
E01001739,B1,2,1,2.0
E01001742,B1,4,2,2.0
E01001744,B1,2,1,2.0
E01001745,B1,1,1,1.0
E01001747,B1,1,1,1.0
E01001748,B1,4,3,1.3333333333333333
