period,LAD,SHEF_C,report_count,user_count,average
2009-12,E07000091,Environmental Health,1,1,1.0
2009-12,E07000091,Road Safety & Defects,11,10,1.1
2009-12,E07000092,Environmental Health,2,1,2.0
2009-12,E07000092,Incivilities,1,1,1.0
2009-12,E07000093,Environmental Disruptions,1,1,1.0
2009-12,E07000093,Environmental Health,2,2,1.0
2009-12,E07000093,Incivilities,1,1,1.0
2009-12,E07000093,Other,1,1,1.0
2009-12,E07000093,Road Safety & Defects,6,6,1.0
2009-12,E07000093,Vehicles,1,1,1.0
2009-12,E07000094,Environmental Health,3,3,1.0
2009-12,E07000094,Other,2,2,1.0
2009-12,E07000094,Road Safety & Defects,17,11,1.5454545454545454
2009-12,E07000095,Road Safety & Defects,1,1,1.0
2009-12,E07000096,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000096,Environmental Disruptions,1,1,1.0
2009-12,E07000096,Environmental Health,1,1,1.0
2009-12,E07000096,Other,1,1,1.0
2009-12,E07000096,Road Safety & Defects,6,6,1.0
2009-12,E07000098,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000098,Road Safety & Defects,5,5,1.0
2009-12,E07000098,Vehicles,1,1,1.0
2009-12,E07000099,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000099,Environmental Health,1,1,1.0
2009-12,E07000099,Public Space,1,1,1.0
2009-12,E07000099,Road Safety & Defects,7,4,1.75
2009-12,E07000102,Road Safety & Defects,1,1,1.0
2009-12,E07000103,Incivilities,1,1,1.0
2009-12,E07000103,Other,1,1,1.0
2009-12,E07000103,Road Safety & Defects,3,3,1.0
2009-12,E07000105,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000105,Other,1,1,1.0
2009-12,E07000105,Road Safety & Defects,3,3,1.0
2009-12,E07000106,Environmental Health,2,2,1.0
2009-12,E07000106,Other,1,1,1.0
2009-12,E07000106,Public Space,1,1,1.0
2009-12,E07000106,Road Safety & Defects,8,6,1.3333333333333333
2009-12,E07000107,Environmental Health,1,1,1.0
2009-12,E07000107,Other,1,1,1.0
2009-12,E07000107,Road Safety & Defects,2,2,1.0
2009-12,E07000108,Environmental Health,1,1,1.0
2009-12,E07000108,Road Safety & Defects,3,3,1.0
2009-12,E07000109,Road Safety & Defects,1,1,1.0
2009-12,E07000110,Incivilities,1,1,1.0
2009-12,E07000110,Road Safety & Defects,3,2,1.5
2009-12,E07000111,Environmental Health,1,1,1.0
2009-12,E07000111,Other,1,1,1.0
2009-12,E07000111,Road Safety & Defects,3,3,1.0
2009-12,E07000112,Road Safety & Defects,2,2,1.0
2009-12,E07000113,Road Safety & Defects,1,1,1.0
2009-12,E07000114,Environmental Health,3,3,1.0
2009-12,E07000114,Other,3,3,1.0
2009-12,E07000114,Road Safety & Defects,3,3,1.0
2009-12,E07000114,Vehicles,1,1,1.0
2009-12,E07000115,Environmental Health,1,1,1.0
2009-12,E07000115,Other,3,2,1.5
2009-12,E07000115,Road Safety & Defects,5,5,1.0
2009-12,E07000116,Other,4,4,1.0
2009-12,E07000116,Road Safety & Defects,6,4,1.5
2009-12,E07000118,Other,1,1,1.0
2009-12,E07000119,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000119,Other,1,1,1.0
2009-12,E07000119,Road Safety & Defects,1,1,1.0
2009-12,E07000120,Road Safety & Defects,8,4,2.0
2009-12,E07000121,Environmental Health,1,1,1.0
2009-12,E07000121,Other,1,1,1.0
2009-12,E07000121,Road Safety & Defects,3,3,1.0
2009-12,E07000122,Environmental Health,2,2,1.0
2009-12,E07000122,Other,2,2,1.0
2009-12,E07000122,Road Safety & Defects,1,1,1.0
2009-12,E07000123,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000123,Environmental Health,2,2,1.0
2009-12,E07000123,Road Safety & Defects,3,3,1.0
2009-12,E07000124,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000124,Road Safety & Defects,1,1,1.0
2009-12,E07000124,Vehicles,1,1,1.0
2009-12,E07000125,Environmental Health,2,2,1.0
2009-12,E07000125,Road Safety & Defects,3,2,1.5
2009-12,E07000127,Road Safety & Defects,3,3,1.0
2009-12,E07000128,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000128,Other,1,1,1.0
2009-12,E07000128,Road Safety & Defects,1,1,1.0
2009-12,E07000129,Road Safety & Defects,1,1,1.0
2009-12,E07000130,Environmental Health,1,1,1.0
2009-12,E07000130,Incivilities,1,1,1.0
2009-12,E07000130,Other,3,2,1.5
2009-12,E07000130,Public Space,1,1,1.0
2009-12,E07000130,Road Safety & Defects,3,3,1.0
2009-12,E07000131,Other,1,1,1.0
2009-12,E07000131,Road Safety & Defects,2,1,2.0
2009-12,E07000132,Road Safety & Defects,3,2,1.5
2009-12,E07000134,Environmental Disruptions,1,1,1.0
2009-12,E07000134,Road Safety & Defects,2,2,1.0
2009-12,E07000135,Road Safety & Defects,1,1,1.0
2009-12,E07000136,Road Safety & Defects,3,2,1.5
2009-12,E07000137,Environmental Health,1,1,1.0
2009-12,E07000138,Environmental Disruptions,1,1,1.0
2009-12,E07000138,Other,1,1,1.0
2009-12,E07000139,Other,1,1,1.0
2009-12,E07000139,Road Safety & Defects,2,1,2.0
2009-12,E07000140,Environmental Health,1,1,1.0
2009-12,E07000140,Other,1,1,1.0
2009-12,E07000140,Road Safety & Defects,1,1,1.0
2009-12,E07000141,Environmental Disruptions,1,1,1.0
2009-12,E07000141,Environmental Health,1,1,1.0
2009-12,E07000141,Road Safety & Defects,8,8,1.0
2009-12,E07000142,Road Safety & Defects,1,1,1.0
2009-12,E07000143,Environmental Health,4,3,1.3333333333333333
2009-12,E07000143,Other,1,1,1.0
2009-12,E07000143,Road Safety & Defects,5,3,1.6666666666666667
2009-12,E07000144,Other,1,1,1.0
2009-12,E07000144,Road Safety & Defects,2,2,1.0
2009-12,E07000145,Environmental Health,3,1,3.0
2009-12,E07000145,Other,1,1,1.0
2009-12,E07000145,Road Safety & Defects,1,1,1.0
2009-12,E07000146,Environmental Health,1,1,1.0
2009-12,E07000146,Public Space,1,1,1.0
2009-12,E07000146,Road Safety & Defects,4,4,1.0
2009-12,E07000146,Vehicles,1,1,1.0
2009-12,E07000147,Road Safety & Defects,1,1,1.0
2009-12,E07000148,Incivilities,1,1,1.0
2009-12,E07000148,Road Safety & Defects,1,1,1.0
2009-12,E07000149,Environmental Disruptions,1,1,1.0
2009-12,E07000149,Road Safety & Defects,3,3,1.0
2009-12,E07000151,Road Safety & Defects,24,1,24.0
2009-12,E07000152,Other,1,1,1.0
2009-12,E07000152,Road Safety & Defects,2,2,1.0
2009-12,E07000153,Environmental Health,1,1,1.0
2009-12,E07000153,Road Safety & Defects,2,2,1.0
2009-12,E07000154,Environmental Disruptions,1,1,1.0
2009-12,E07000154,Environmental Health,6,4,1.5
2009-12,E07000154,Road Safety & Defects,1,1,1.0
2009-12,E07000155,Other,1,1,1.0
2009-12,E07000156,Road Safety & Defects,2,2,1.0
2009-12,E07000163,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000163,Road Safety & Defects,3,1,3.0
2009-12,E07000164,Road Safety & Defects,3,2,1.5
2009-12,E07000165,Environmental Disruptions,2,2,1.0
2009-12,E07000165,Environmental Health,1,1,1.0
2009-12,E07000166,Road Safety & Defects,2,2,1.0
2009-12,E07000167,Access,1,1,1.0
2009-12,E07000169,Incivilities,1,1,1.0
2009-12,E07000170,Road Safety & Defects,1,1,1.0
2009-12,E07000171,Environmental Health,1,1,1.0
2009-12,E07000171,Other,1,1,1.0
2009-12,E07000171,Road Safety & Defects,5,4,1.25
2009-12,E07000173,Environmental Health,1,1,1.0
2009-12,E07000173,Road Safety & Defects,1,1,1.0
2009-12,E07000175,Road Safety & Defects,1,1,1.0
2009-12,E07000176,Environmental Health,1,1,1.0
2009-12,E07000176,Road Safety & Defects,1,1,1.0
2009-12,E07000177,Abandoned Vehicles & Parking,2,2,1.0
2009-12,E07000177,Environmental Health,2,2,1.0
2009-12,E07000177,Road Safety & Defects,16,6,2.6666666666666665
2009-12,E07000177,Vehicles,1,1,1.0
2009-12,E07000178,Abandoned Vehicles & Parking,1,1,1.0
2009-12,E07000178,Other,2,2,1.0
2009-12,E07000178,Road Safety & Defects,2,2,1.0
2009-12,E07000179,Road Safety & Defects,5,5,1.0
