period,LAD,SHEF_C_CODE,report_count,user_count,average
2007-6,S12000045,C7,4,3,1.3333333333333333
2007-6,S12000046,C3,3,3,1.0
2007-6,S12000046,C5,1,1,1.0
2007-6,S12000046,C7,1,1,1.0
2007-6,W06000009,C7,1,1,1.0
2007-6,W06000010,C6,1,1,1.0
2007-6,W06000010,C8,1,1,1.0
2007-6,W06000016,C2,1,1,1.0
2007-6,W06000016,C3,2,2,1.0
2007-6,W06000018,C3,1,1,1.0
2007-6,W06000018,C4,1,1,1.0
2007-6,W06000019,C3,1,1,1.0
2007-6,W06000021,C7,1,1,1.0
2007-6,W06000022,C8,1,1,1.0
2007-6,W06000024,C7,2,2,1.0
