period,LAD,SHEF_C_CODE,report_count,user_count,average
2016,E07000008,C2,10,10,1.0
2016,E07000008,C3,28,14,2.0
2016,E07000008,C4,28,5,5.6
2016,E07000008,C5,23,18,1.2777777777777777
2016,E07000008,C6,14,13,1.0769230769230769
2016,E07000008,C7,45,25,1.8
2016,E07000008,C8,16,16,1.0
2016,E07000009,C2,2,2,1.0
2016,E07000009,C3,33,14,2.357142857142857
2016,E07000009,C5,5,5,1.0
2016,E07000009,C7,8,7,1.1428571428571428
2016,E07000009,C8,2,2,1.0
2016,E07000010,C2,3,3,1.0
2016,E07000010,C3,8,5,1.6
2016,E07000010,C5,9,9,1.0
2016,E07000010,C6,2,2,1.0
2016,E07000010,C7,9,8,1.125
2016,E07000010,C8,5,5,1.0
2016,E07000011,C1,1,1,1.0
2016,E07000011,C2,11,9,1.2222222222222223
2016,E07000011,C3,25,22,1.1363636363636365
2016,E07000011,C4,2,2,1.0
2016,E07000011,C5,22,19,1.1578947368421053
2016,E07000011,C6,9,8,1.125
2016,E07000011,C7,20,19,1.0526315789473684
2016,E07000011,C8,12,11,1.0909090909090908
2016,E07000012,C2,23,19,1.2105263157894737
2016,E07000012,C3,26,20,1.3
2016,E07000012,C4,1,1,1.0
2016,E07000012,C5,27,24,1.125
2016,E07000012,C6,3,3,1.0
2016,E07000012,C7,29,23,1.2608695652173914
2016,E07000012,C8,7,7,1.0
2016,E07000026,C2,1,1,1.0
2016,E07000026,C3,25,12,2.0833333333333335
2016,E07000026,C4,1,1,1.0
2016,E07000026,C5,6,6,1.0
2016,E07000026,C6,1,1,1.0
2016,E07000026,C7,50,29,1.7241379310344827
2016,E07000026,C8,9,8,1.125
2016,E07000027,C2,3,3,1.0
2016,E07000027,C3,61,17,3.588235294117647
2016,E07000027,C4,5,3,1.6666666666666667
2016,E07000027,C5,2,2,1.0
2016,E07000027,C6,1,1,1.0
2016,E07000027,C7,46,20,2.3
2016,E07000027,C8,13,9,1.4444444444444444
2016,E07000028,C3,12,10,1.2
2016,E07000028,C5,1,1,1.0
2016,E07000028,C6,1,1,1.0
2016,E07000028,C7,40,27,1.4814814814814814
2016,E07000028,C8,5,5,1.0
2016,E07000029,C2,2,2,1.0
2016,E07000029,C3,15,12,1.25
2016,E07000029,C4,1,1,1.0
2016,E07000029,C5,6,6,1.0
2016,E07000029,C7,168,93,1.8064516129032258
2016,E07000029,C8,15,14,1.0714285714285714
2016,E07000030,C2,1,1,1.0
2016,E07000030,C3,8,4,2.0
2016,E07000030,C5,2,2,1.0
2016,E07000030,C6,2,2,1.0
