period,LSOA,SHEF_B,report_count,user_count,average
2015,E01000174,Highways Enquiries,2,2,1.0
2015,E01000174,Road Surface Defects,3,3,1.0
2015,E01000174,Rubbish,5,5,1.0
2015,E01000174,Street Lights,1,1,1.0
2015,E01000175,Abandoned Vehicles,1,1,1.0
2015,E01000175,Highways Enquiries,1,1,1.0
2015,E01000175,Incivilities,1,1,1.0
2015,E01000175,Overgrown/Fallen Veg/Trees,1,1,1.0
2015,E01000175,Pavement /Footway Defects,2,2,1.0
2015,E01000175,Road Surface Defects,1,1,1.0
2015,E01000175,Rubbish,3,2,1.5
2015,E01000175,Street Lights,2,2,1.0
2015,E01000176,Abandoned Vehicles,1,1,1.0
2015,E01000176,Incivilities,1,1,1.0
2015,E01000176,Road Surface Defects,1,1,1.0
2015,E01000176,Rubbish,4,3,1.3333333333333333
2015,E01000177,Abandoned Vehicles,1,1,1.0
2015,E01000177,Rubbish,4,3,1.3333333333333333
2015,E01000177,Street Lights,1,1,1.0
2015,E01000178,Abandoned Vehicles,1,1,1.0
2015,E01000178,Incivilities,1,1,1.0
2015,E01000178,Rubbish,1,1,1.0
2015,E01000179,Abandoned Vehicles,2,1,2.0
2015,E01000179,Road Surface Defects,1,1,1.0
2015,E01000180,Drainage,2,2,1.0
2015,E01000180,Highways Enquiries,1,1,1.0
2015,E01000180,Overgrown/Fallen Veg/Trees,2,2,1.0
2015,E01000180,Pavement /Footway Defects,3,3,1.0
2015,E01000181,Abandoned Vehicles,1,1,1.0
2015,E01000181,Pavement /Footway Defects,3,2,1.5
2015,E01000181,Road Surface Defects,1,1,1.0
2015,E01000181,Rubbish,1,1,1.0
2015,E01000181,Street Lights,1,1,1.0
2015,E01000182,Drainage,2,1,2.0
2015,E01000182,Overgrown/Fallen Veg/Trees,2,2,1.0
2015,E01000182,Pavement /Footway Defects,1,1,1.0
2015,E01000182,Road Surface Defects,1,1,1.0
2015,E01000182,Rubbish,1,1,1.0
2015,E01000182,Street Lights,1,1,1.0
2015,E01000183,Abandoned Vehicles,1,1,1.0
2015,E01000183,Drainage,1,1,1.0
2015,E01000183,Highways Enquiries,2,2,1.0
2015,E01000183,Pavement /Footway Defects,1,1,1.0
2015,E01000183,Road Surface Defects,2,2,1.0
2015,E01000183,Rubbish,1,1,1.0
2015,E01000184,Abandoned Vehicles,1,1,1.0
2015,E01000184,Drainage,1,1,1.0
2015,E01000184,Highways Enquiries,1,1,1.0
2015,E01000184,Overgrown/Fallen Veg/Trees,1,1,1.0
